time,ax,ay,az,yaw,distance
2.709,-0.3306,-3.23279,9.3355,279.0905,3.1931817245356284
2.752,0.153,-3.32497,9.5473,279.0346,3.2490508401189877
2.795,0.0968,-3.28416,9.855,278.9875,3.302086967808568
2.838,0.1027,-3.51329,10.0585,278.9363,3.3521178149480764
2.881,-0.2013,-3.59359,9.679,278.8887,3.398965042509656
2.924,-0.5473,-2.75869,10.3219,278.8844,3.4426117644865966
2.967,-0.3737,-3.31573,10.6116,278.9157,3.482945291045759
3.01,-0.4898,-2.42561,10.2057,278.9662,3.520025020345669
3.053,-0.3402,-1.67497,11.1922,279.0469,3.5540484352255426
3.096,-0.3198,-2.98122,9.4336,279.1544,3.584952410733054
3.139,-0.0912,-3.14985,6.7761,279.296,3.6126595668977464
3.182,0.4487,-2.31627,8.853,279.4327,3.637279348134365
3.225,-0.0828,-1.89222,10.8869,279.5664,3.658968596979485
3.268,-0.2049,-1.463,12.4754,279.7056,3.6779427779028624
3.311,-0.2181,-1.67893,11.1766,279.8448,3.694355780246798
3.354,-0.3294,-1.13773,9.0589,279.9821,3.7084399644360815
3.397,-0.4994,-1.1825,10.0765,280.1128,3.7203869237523266
3.44,-0.0122,-1.8106,12.1905,280.2389,3.730277999385187
3.483,-0.1367,-1.6368,10.7468,280.3443,3.7382132383097937
3.526,-0.509,-1.66309,9.3007,280.4299,3.744258821369023
3.569,0.1985,-1.9041,8.2102,280.5028,3.748468925166203
3.612,-0.485,-0.90332,8.3969,280.5354,3.751037455490649
3.655,-0.5281,0.60049,9.7508,280.5273,3.7524049180463317
3.698,0.0608,1.26016,9.1978,280.5016,3.753116205741149
3.741,0.5529,2.69687,10.3877,280.4435,3.7539457620709986
3.784,0.1207,3.34862,10.5146,280.3705,3.7556767319367137
3.827,0.6079,1.3431,8.4544,280.27,3.7586809185344627
3.87,0.742,1.61436,8.4723,280.1539,3.7633490077733103
3.913,1.0377,0.99946,9.8694,280.0111,3.769942566438004
3.956,0.1003,0.97053,9.2912,279.8717,3.778630086180695
3.999,0.3529,3.11817,10.2812,279.7452,3.7899552669968064
4.042,-0.2672,2.02521,10.7564,279.6323,3.8041658263294478
4.085,0.3039,1.74218,8.6256,279.5336,3.821469087035189
4.128,-0.3031,1.75791,8.8638,279.5326,3.8420070335828793
4.171,-0.2815,-0.74404,10.286,279.4578,3.8654677969547344
4.214,-0.1175,-1.51041,9.3654,279.4015,3.891449214947779
4.257,-0.3366,-1.48797,10.7971,279.3565,3.919578012582172
4.3,-0.5042,-3.44344,10.6822,279.3343,3.949167912933378
4.343,0.1626,-3.61856,11.5896,279.3195,3.9796257352784967
4.386,-0.0541,-1.96867,10.7361,279.3022,4.010689676622441
4.429,-0.6466,-2.06998,8.7644,279.2833,4.0420613635389175
4.472,-0.3737,-2.89828,10.6259,279.2537,4.073352137142703
4.515,-0.5976,-2.37556,9.5593,279.2131,4.104285310625023
4.558,-0.6263,-1.3497,8.7477,279.1418,4.134784687343634
4.601,-0.3043,-1.89354,9.8909,279.0428,4.164714678808253
4.644,0.3254,-1.55914,9.6144,278.9038,4.194063297229357
4.687,-0.2648,-1.26676,10.0789,278.7237,4.2228215635259945
4.73,-0.4096,-1.41163,9.3678,278.5391,4.2509443948808645
4.773,0.2632,-1.55122,9.6216,278.3275,4.278425145878186
4.816,0.1806,-2.21749,9.5102,278.0964,4.305140674203021
4.859,-0.4024,-1.32077,10.0537,277.8452,4.331082008035397
4.902,-0.1319,-1.7369,10.3422,277.6023,4.356194844531116
4.945,-0.3833,-1.28128,9.6467,277.353,4.380484808574051
4.988,0.6343,-1.69213,8.9644,277.1015,4.403979634785221
5.031,0.4152,-2.21353,10.3865,276.8334,4.426601289258618
5.074,0.3984,-2.41637,10.2261,276.5509,4.448248066566735
5.117,0.5229,-2.37292,9.8299,276.2675,4.468851150179207
5.16,0.2033,-1.22991,10.8941,275.9627,4.488511247049036
5.203,-0.5844,-1.72898,11.3693,275.646,4.507164369104346
5.246,-0.2456,-1.63284,9.0182,275.3233,4.52480049495671
5.289,0.1889,-1.73426,7.3997,275.0114,4.541436509984078
5.332,0.5888,-1.59599,10.9491,274.6853,4.55715139181947
5.375,0.2823,-2.41505,9.9974,274.3467,4.57185763844688
5.418,-0.1032,-1.08504,9.5318,274.0051,4.585657238606303
5.461,0.0704,-1.64604,11.0317,273.6611,4.598569506491685
5.504,0.0728,-1.69081,8.4029,273.3246,4.610607175574623
5.547,0.0908,-0.60577,9.2253,272.9846,4.62195857644838
5.59,0.2356,-1.51041,10.1399,272.6413,4.632664575931465
5.633,-0.1762,-0.62678,9.776,272.2991,4.642860989746374
5.676,-0.2312,0.29887,10.2812,271.9735,4.652807862819619
5.719,-0.3964,-2.27546,9.8921,271.6496,4.662315189172701
5.762,-0.0182,-1.70137,9.2864,271.3279,4.6713442617473255
5.805,0.3505,-0.65714,9.8047,271.0061,4.68006414481304
5.848,0.0608,0.6413,9.8299,271.0065,4.688795416628065
5.891,0.4715,2.12135,10.7337,270.6678,4.698093685130204
5.934,0.4032,3.43156,10.4093,270.3327,4.7086426123847644
5.977,0.9443,1.58543,9.4109,270.0051,4.720827435734791
