time,ax,ay,az,yaw,distance
0.0,-0.2738,0.767655,9.8277,196.3093,0.001679572769432651
0.043,-0.0439,1.308195,9.2268,196.2898,0.005073391579728842
0.086,0.0554,1.017765,9.2663,196.2629,0.010165586452728533
0.129,0.2841,0.925995,9.5691,196.2332,0.016900206225307135
0.172,0.0626,1.66383,9.8935,196.2133,0.025357201957783456
0.215,-0.1109,1.563345,10.0204,196.1904,0.035624626021436574
0.258,-0.0379,1.650075,9.8445,196.1699,0.047787764399031096
0.301,-0.0068,1.285515,9.6745,196.1507,0.061872478024047065
0.344,-0.1708,1.59726,10.1102,196.1367,0.07796744726431538
0.387,-0.1433,2.01201,9.933,196.1299,0.09621045186200683
0.43,-0.239,1.69785,9.5033,196.1248,0.11669527504100291
0.473,-0.2785,2.230725,9.3644,196.1344,0.13959034523287372
0.516,0.0686,2.057265,9.5296,196.1325,0.1649845998944828
0.559,0.0758,2.45574,9.8121,196.132,0.19302206988054513
0.602,-0.8903,2.842875,9.8708,196.1342,0.22400511990983482
0.645,-0.652,3.012555,10.3281,196.1425,0.2582058730072124
0.688,-0.5443,2.602845,11.1445,196.1309,0.29579580786231047
0.731,-1.6696,3.309285,10.2634,196.1491,0.337158284352425
0.774,-0.5108,1.75938,10.4095,196.1109,0.3822684570664027
0.817,-0.9465,2.066085,9.5751,196.1051,0.4311940287743336
0.86,-0.7035,1.275435,9.5727,196.0585,0.48384133226080195
0.903,-0.0762,0.181965,10.0528,195.9904,0.5398843252820221
0.946,-0.3779,1.67391,9.6589,196.0162,0.5992979659683734
0.989,-0.269,3.199875,8.9933,196.0758,0.6622972531413348
1.032,-0.9346,2.04855,10.2886,196.0468,0.7289560178450395
1.075,-1.4888,2.29362,10.2479,210.6244,0.7994324871308183
1.118,-0.8532,2.259705,10.2958,208.8129,0.8738013501297017
1.161,0.0686,2.99376,10.0947,207.277,0.9521628867933352
1.204,-0.002,2.47842,9.969,205.9069,1.0345319888397526
1.247,0.2637,1.43514,9.1537,204.6736,1.1207272015196121
1.29,-0.0212,1.14471,9.8337,203.5956,1.2105645503574576
1.333,-0.1433,1.560825,9.4829,202.6539,1.3039580963080495
1.376,-0.0212,1.58592,9.368,201.8186,1.4008233708347262
1.419,0.8731,1.968015,10.2682,201.0771,1.5010657058211767
1.462,0.2362,1.795815,9.6014,200.4215,1.6046316260096016
1.505,0.1416,1.48911,9.2627,199.8372,1.711431520919195
1.548,0.6732,1.533105,9.52,199.3259,1.8213443199462256
1.591,0.8994,2.244585,9.4614,198.8844,1.9343604033598774
1.634,1.2992,1.391145,9.9594,198.5081,2.050295783573888
1.677,0.9365,0.05754,10.8895,198.1937,2.168797004767212
1.72,0.1764,1.75812,11.3935,197.9259,2.2898975895081817
1.763,0.2637,1.44144,9.5643,197.7011,2.413567519146943
1.806,0.065,1.813455,9.2411,197.5018,2.5398597747523595
1.849,0.0064,1.84107,10.3089,197.3201,2.6688319692539872
1.892,0.2278,1.0794,10.4334,197.1409,2.8003887391853612
1.935,0.2997,-0.699195,10.0755,196.9631,2.934137643376834
1.978,0.6492,-1.572795,10.6752,196.7502,3.0695460843522047
2.021,1.1951,-2.04288,9.5009,196.5093,3.2060071629220395
2.064,1.334,-1.385475,8.4654,196.2604,3.3430734080669735
2.107,1.1927,-1.124025,8.2583,195.9752,3.4803981820676833
2.15,0.8767,-0.64764,8.7407,195.6814,3.617776580252211
2.193,1.1197,-0.46914,10.5867,195.3744,3.755034474882241
2.236,0.7713,0.085155,11.1421,195.0688,3.8921385478729866
2.279,0.4062,-0.006615,9.8528,194.7583,4.029073080377634
2.322,0.2781,-0.857535,10.1844,194.4675,4.165688458517708
2.365,0.4421,-0.05187,10.759,194.1838,4.3019734893851
2.408,-0.1756,-0.39879,9.1609,193.9258,4.437907928220258
2.451,-0.4282,-1.067535,10.3329,193.6975,4.573377821329755
2.494,0.3882,0.257355,10.7926,193.4835,4.708441334237716
2.537,0.6803,1.51683,9.2878,193.2803,4.843344171610879
2.58,0.4577,1.60734,9.228,193.0921,4.978341695527376
2.623,0.4265,2.064825,10.042,192.9118,5.113745602779209
2.666,0.5475,2.240805,10.2934,192.7448,5.249858083956225
2.709,0.0363,3.5154,9.6158,192.5706,5.387211473341979
2.752,-0.0104,2.072385,10.625,192.4237,5.526040920136566
2.795,0.0734,2.18925,10.874,192.2856,5.666571998054751
2.838,0.1428,1.210125,9.3441,192.1586,5.808833826556476
2.881,0.0554,0.090195,9.9259,192.0431,5.952665917768853
2.924,0.5702,0.73248,10.3161,191.9203,6.097994735111324
2.967,0.4505,1.34211,8.8772,191.7892,6.244868917100714
3.01,0.1297,0.98007,9.4075,191.6665,6.393294373833412
3.053,0.1285,2.02587,9.2471,191.5313,6.543457517293903
3.096,0.4098,2.03595,8.7766,191.3952,6.6955070290804395
3.139,0.4637,1.734285,8.3589,191.2616,6.849521042677705
3.182,0.5187,-0.40635,10.3724,191.1607,7.00519475230925
3.225,0.2973,1.374765,10.1413,191.0443,7.162579327735563
3.268,0.4708,1.041705,9.52,190.939,7.3216502592670665
