time,ax,ay,az,yaw,distance
8.772,0.6694,0.48184,8.4908,194.6163,36.81932999463196
8.815,0.515,-0.39344,12.1192,194.5339,37.12167822501525
8.858,0.7054,-0.69416,12.7046,194.4306,37.42517701274457
8.901,0.6778,-0.15112,10.6647,194.3056,37.7298204584659
8.944,0.1655,-0.09944,7.3045,194.1755,38.035617538214815
8.987,-0.4822,-0.3896,10.6851,194.0466,38.34252719762035
9.03,-0.2463,-0.05824,6.998,193.9147,38.65057294509868
9.073,0.2672,2.1952,5.6525,193.787,38.96019696418818
9.116,-0.0392,-1.27256,12.6519,193.6788,39.27114505419495
9.159,0.3247,-1.422,18.6673,193.587,39.58315704037115
9.202,0.6599,-0.21624,12.2676,193.497,39.89622356838391
9.245,0.3414,-0.45664,6.7514,193.4221,40.21029360373494
9.288,0.3522,-1.00064,9.16,193.3626,40.525218402833225
9.331,0.1535,1.22216,8.0527,193.2839,40.84128556561294
9.374,-0.0105,-0.97288,9.3862,193.2466,41.15834082042189
9.417,0.0194,0.82568,9.7094,193.2033,41.476584692084195
9.46,0.4085,-0.46528,8.48,193.1835,41.79595053705591
9.503,0.7161,0.28176,7.8647,193.1564,42.116516851879915
9.546,0.4959,0.0308,9.1193,193.136,42.43830880050844
9.589,0.752,0.298,10.059,193.1108,42.761397349852004
9.632,0.3654,-0.07552,10.6516,193.0898,43.08577914136592
9.675,0.0529,0.17448,11.31,193.0666,43.41150100691317
9.718,0.205,0.19456,10.5714,193.042,43.73860759844948
9.761,-0.0536,0.0892,9.64,193.0149,44.06712136677651
9.804,-0.7371,-0.63672,11.1567,192.9959,44.3969310948644
9.847,-0.4355,0.86208,8.237,192.9615,44.72821714085368
9.89,-0.1051,1.26144,5.443,192.9307,45.06121445771456
9.933,-0.2308,-2.168,12.6112,192.91,45.3954878575872
9.976,0.2397,0.10648,13.2253,192.878,45.731071305123095
10.019,0.7485,0.47904,5.6968,192.8274,46.068061555565954
10.062,0.6479,-0.46144,10.0758,192.7861,46.40636894548201
10.105,0.5916,0.16872,11.9684,192.7326,46.746032283873404
10.148,1.3542,-1.1596,12.1288,192.6852,47.08682943664827
10.191,0.7951,0.0136,10.7318,192.6225,47.42878669674038
10.234,0.3331,-0.4528,9.2186,192.6248,47.771843446939705
10.277,0.509,0.01928,7.6277,192.5614,48.11603287700694
10.32,0.7042,1.28056,7.3428,192.4686,48.46162152234746
