time,ax,ay,az,yaw
24.51,-0.1497,-0.5676,12.0102,187.0982
24.553,0.5638,2.0995,9.4257,187.1668
24.596,-0.0144,-1.7396,10.3786,187.2335
24.639,-0.7997,-1.1291,11.7887,187.2687
24.682,0.1723,1.246,10.4037,187.2695
24.725,-0.3736,1.7164,7.6683,187.236
24.768,0.1831,-1.2356,9.197,187.178
24.811,0.1316,-0.3031,11.2967,187.1072
24.854,-1.3229,0.1267,11.511,187.002
24.897,-1.1074,-0.8501,11.7468,186.8605
24.94,-0.4562,2.8345,7.0901,186.6879
24.983,0.5398,-0.5724,7.5426,186.5041
25.026,-0.5735,-1.6654,10.1595,186.2897
25.069,0.0382,3.1063,8.7661,186.0476
25.112,-0.188,-0.1403,10.29,185.7849
25.155,-0.3939,-0.1486,10.2074,185.5108
25.198,0.45,2.9339,7.636,185.2483
25.241,0.3124,-0.3857,8.5889,184.9891
25.284,0.3878,0.3398,10.2732,184.7527
25.327,0.1544,0.1315,10.5533,184.5521
25.37,-0.2156,1.0485,10.5031,184.3815
25.413,0.2334,0.4882,9.4747,184.263
25.456,-0.1868,-0.2731,9.7812,184.2041
25.499,0.6332,1.5345,8.207,184.2104
25.542,0.3842,0.9778,8.3998,184.2459
25.585,0.377,0.0381,9.8889,184.3447
25.628,0.0885,0.4559,12.0689,184.4922
25.671,0.3064,-0.8214,12.7057,184.6741
25.714,-0.2886,2.315,11.4524,184.8667
25.757,-0.5759,-1.3865,11.3482,185.0575
25.8,-0.0875,0.5696,9.4795,185.2451
25.843,-0.4071,2.6298,5.2957,185.4045
25.886,0.1352,-0.7975,8.9803,185.5338
25.929,0.7254,2.7974,8.9923,185.6302
25.972,-0.4298,-2.4423,11.9911,185.7068
26.015,0.4752,0.0728,13.1905,185.74
26.058,0.0107,1.8469,10.3558,185.7396
26.101,0.1915,1.6075,8.8151,185.7162
26.144,0.4524,-2.9211,11.438,185.6853
26.187,1.3957,1.1095,9.9452,185.6438
26.23,-0.6537,2.9758,6.312,185.5938
26.273,0.4333,-1.6642,10.673,185.5543
26.316,-0.0228,-2.4339,13.5844,185.5037
26.359,-0.3209,2.0169,8.0275,185.4221
26.402,0.0119,3.1625,4.9198,185.3601
26.445,-0.3113,-3.0923,8.5219,185.3119
26.488,0.3076,-1.8868,13.7472,185.2885
26.531,0.3686,0.4882,11.6259,185.2489
26.574,0.3435,0.0704,8.9349,185.221
26.617,0.1771,0.5229,7.0865,185.1996
26.66,0.5937,1.55,8.2058,185.1789
26.703,0.942,-0.7424,10.8933,185.1864
26.746,1.0019,-1.1937,12.4495,185.1988
26.789,0.2501,-1.0333,10.3558,185.2077
26.832,0.1819,1.2544,8.2705,185.1816
26.875,-0.4071,1.6231,7.806,185.1618
26.918,0.4836,0.013,9.2377,185.1653
26.961,0.3902,-0.3115,11.0693,185.1578
27.004,-0.0671,-1.1782,11.3171,185.1495
27.047,-0.7315,-2.3046,9.5753,185.1006
27.09,-0.4358,-1.9706,10.3055,185.0559
27.133,0.0047,-1.1363,10.6946,184.9875
27.176,0.0203,-1.9922,10.3307,184.9035
27.219,0.1388,-1.5241,9.7345,184.7923
27.262,0.4165,0.5564,9.027,185.6084
27.305,-0.3197,-1.9,9.8482,185.4372
27.348,0.4488,-2.2843,9.5071,185.253
27.391,0.3842,-1.2236,8.79,185.0554
27.434,0.0215,-1.3745,8.8307,184.8576
27.477,0.5434,-1.1195,9.1623,184.6649
27.52,0.3291,0.6211,10.2565,184.4655
27.563,-0.0839,-3.2671,11.3219,184.3121
27.606,0.0191,-2.4471,10.2265,184.1471
27.649,0.1089,-1.1542,10.3977,183.979
27.692,-0.0791,-1.2739,9.8171,183.8376
27.735,0.2681,-2.8194,9.7489,183.7216
27.778,0.2561,-0.9363,8.4931,183.6098
27.821,0.0203,-3.0157,9.361,183.5418
27.864,0.4177,-0.7999,9.2557,183.4693
27.907,0.6547,-1.3074,10.1523,183.443
27.95,0.5805,-3.0995,11.007,183.4641
27.9930000000001,1.2305,-2.8972,10.345,183.5082
28.0360000000001,1.033,-0.1235,9.3251,183.5308
28.0790000000001,0.468,-0.7783,10.0027,183.6022
28.1220000000001,0.219,-1.6067,11.2477,183.7081
28.1650000000001,1.1599,-1.7432,11.6487,183.8318
28.2080000000001,0.7792,-0.9986,8.8822,183.9588
28.2510000000001,0.5494,-0.3198,9.0187,184.0743
28.2940000000001,0.6978,-0.2839,11.2836,184.2024
28.3370000000001,0.1184,-1.9012,9.7297,184.369
28.3800000000001,0.5183,-1.8797,8.3794,184.5353
28.4230000000001,0.2848,0.1387,7.9856,184.6518
28.4660000000001,0.3986,-0.1475,10.8813,184.7929
28.5090000000001,0.5003,-3.133,12.1156,184.9924
28.5520000000001,0.4824,-2.6147,9.6483,185.1801
28.5950000000001,0.6823,0.1877,9.0881,185.3196
28.6380000000001,0.4608,-1.147,11.2333,185.4934
28.6810000000001,0.0993,-3.6633,11.6906,185.7057
28.7240000000001,0.5566,-3.4838,10.6323,185.9031
28.7670000000001,0.7038,-0.8226,8.0131,186.0505
28.8100000000001,0.6763,-0.6,9.6711,186.1943
28.8530000000001,0.6511,-3.1905,11.6415,186.3791
28.8960000000001,1.0234,-1.6211,10.041,186.5202
28.9390000000001,0.7852,-1.6833,8.9791,186.6587
28.9820000000001,0.2609,-2.9966,8.5925,186.696
29.0250000000001,0.5985,-2.8314,9.2174,186.8274
29.0680000000001,0.1783,-1.3134,8.5494,186.9105
29.1110000000001,-0.6728,-4.1326,10.6347,187.0289
29.1540000000001,0.7433,-2.7907,11.5876,187.1021
29.1970000000001,0.9636,-0.8154,9.5394,187.1358
29.2400000000001,0.2824,1.1334,10.1607,187.1985
29.2830000000001,0.2453,-2.7224,11.8031,187.2798
29.3260000000001,0.45,-1.4188,9.8901,187.3335
29.3690000000001,0.5638,-0.2875,8.9241,187.3694
29.4120000000001,0.4297,-0.7987,8.9337,187.4298
29.4550000000001,0.1184,-0.7233,9.6495,187.4934
29.4980000000001,0.0251,-1.9084,11.2249,187.5864
29.5410000000001,-0.0037,-2.2244,10.3343,187.686
29.5840000000002,-0.0001,-0.6682,8.4752,187.7571
29.6270000000002,-0.0839,-1.4691,9.7621,187.8472
29.6700000000002,0.5075,-1.8246,10.1667,187.9294
29.7130000000002,0.4848,-0.3605,9.3107,187.9762
29.7560000000002,0.7218,-0.084,10.2122,188.0168
29.7990000000002,0.4117,-0.5377,10.7652,188.0481
29.8420000000002,-0.1222,-1.9144,11.1998,188.0761
29.8850000000002,-0.012,-2.8649,11.0286,188.0873
29.9280000000002,-0.291,-2.398,10.1655,188.0673
29.9710000000002,-0.4418,-2.6255,9.1898,188.041
30.0140000000002,-0.3185,-1.9048,8.3483,187.9959
30.0570000000002,-0.4873,-0.813,8.1017,187.941
30.1000000000002,-0.7926,-0.922,10.3486,187.9025
30.1430000000002,-0.2622,-2.4674,11.0681,187.8812
30.1860000000002,0.1819,-1.6283,11.2189,187.8663
30.2290000000002,0.2178,-1.1746,10.7209,187.8679
30.2720000000002,0.0753,-1.8868,10.5533,187.8937
30.3150000000002,0.1089,-0.7388,9.5777,187.9306
30.3580000000002,-0.5483,0.9814,8.468,187.9828
30.4010000000002,-0.2419,0.3182,10.3582,188.0664
30.4440000000002,-0.0911,-0.6419,10.9448,188.1714
30.4870000000002,-0.4861,-0.9555,9.3443,188.2935
30.5300000000002,-0.2395,-1.4295,9.2269,188.4202
30.5730000000002,0.0358,-2.1717,9.1671,188.5502
30.6160000000002,0.3088,-1.0979,9.5885,188.6761
30.6590000000002,0.5614,0.5157,9.9344,188.8023
30.7020000000002,0.4572,-0.2684,11.0956,188.9268
30.7450000000002,0.3471,-1.7587,11.6427,189.044
30.7880000000002,0.4057,-1.3062,10.2481,189.1414
30.8310000000002,0.9504,-1.3805,8.5853,189.2264
30.8740000000002,1.0893,-0.5664,7.6061,189.2892
30.9170000000002,0.7421,0.2057,8.3231,189.3305
30.9600000000002,0.6045,-0.8406,10.7425,189.3789
31.0030000000002,0.0789,-1.0608,12.5429,189.4181
31.0460000000002,0.219,-0.4383,9.6304,189.4323
31.0890000000003,0.4596,0.7935,9.1491,189.4201
31.1320000000003,0.62,1.6817,9.1396,189.4181
31.1750000000003,1.2617,1.5788,10.7042,189.3707
31.2180000000003,0.7888,0.7564,11.3303,189.3253
31.2610000000003,0.5685,0.7001,10.2325,189.2624
31.3040000000003,0.2142,0.5277,9.6148,189.1991
31.3470000000003,-0.0073,-0.066,9.5825,189.1352
31.3900000000003,-0.0659,-0.248,9.6471,189.067
31.4330000000003,-0.0791,-0.5305,8.3543,189.0041
31.4760000000003,-0.0719,-1.402,8.6679,188.9493
31.5190000000003,0.3219,-1.9048,9.7106,188.8947
31.5620000000003,0.8499,-1.1602,9.7968,188.8325
31.6050000000003,0.8642,0.0297,9.7058,188.7663
