time,ax,ay,az,yaw
4.816,0.0777,0.6402,9.8255,188.7747
4.859,0.693,1.635,9.6866,188.7372
4.902,-0.3389,1.5273,9.2174,188.7002
4.945,0.1615,0.9922,9.5107,188.6652
4.988,-0.0599,1.6207,10.4085,188.6374
5.031,-0.425,-0.1367,10.26,188.6074
5.074,0.3231,0.6797,9.4975,188.5785
5.117,-0.0707,0.9072,9.6052,188.5482
5.16,-0.0372,0.5517,9.4305,188.5144
5.203,0.2848,0.2655,10.2756,188.47
5.246,0.0502,1.5201,8.7637,188.4144
5.289,-0.3257,-0.1726,9.4041,188.3463
5.332,0.3998,1.1287,9.6076,188.264
5.375,-0.2718,0.8102,10.2229,188.1768
5.418,0.1136,1.4854,9.2856,188.0749
5.461,-0.3185,0.4499,9.9524,187.9619
5.504,0.1567,0.9443,10.7712,187.8353
5.547,-0.279,1.0473,11.098,187.7064
5.59,-0.5819,0.4834,10.096,187.5676
5.633,-0.0372,1.483,8.2405,187.4229
5.676,0.1771,1.3477,8.4764,187.2703
5.719,-0.3389,-0.7065,11.0956,187.1083
5.762,-0.0707,1.0808,10.6084,186.9523
5.805,-0.8476,-1.4547,10.0099,186.7865
5.848,-0.4095,-1.0405,8.8726,186.6195
5.891,0.3016,-0.2708,8.5494,186.4642
5.934,-0.4035,-1.7923,10.2181,186.3124
5.977,0.0514,-1.2763,11.2213,186.1779
6.02,0.3842,-0.1858,10.6587,186.0661
6.063,0.067,-0.5449,8.972,185.9735
6.106,0.3519,-0.6814,9.7992,185.8969
6.149,0.2669,0.7851,8.7852,185.8511
6.192,-0.3161,-2.5776,11.256,185.8375
6.235,0.2501,-0.3857,11.25,185.8529
6.278,-0.4957,0.4966,8.9265,185.8981
6.321,-0.0839,-0.9447,8.8954,185.9522
6.364,0.061,-0.7687,10.703,186.0305
6.407,-0.2203,-0.5257,10.096,186.1218
6.45,-0.0563,-0.661,8.9085,186.2231
6.493,-0.2694,-0.078,8.468,186.3283
6.536,0.4488,0.5301,9.215,186.4431
6.579,-0.1365,1.0508,10.3247,186.5625
6.622,0.2154,2.7016,10.4887,186.686
6.665,0.2932,1.1107,10.7293,186.8122
6.708,0.1125,1.1215,10.527,186.9358
6.751,0.237,1.9618,9.8566,187.0569
6.794,0.1184,0.9335,9.8399,187.1813
6.837,-0.2048,-0.6682,10.6311,187.3064
6.88,0.0406,-0.7089,9.4795,187.4172
6.923,-0.2503,0.9,7.1619,187.5133
6.966,0.1125,0.3158,7.8754,187.6041
7.009,0.0442,-0.3785,10.7137,187.685
7.052,-0.1294,0.068,10.5892,187.7525
7.095,-0.1653,1.1921,9.7513,187.8144
7.138,-0.2898,-0.6167,10.4899,187.8704
7.181,0.1998,0.402,11.11,187.9194
7.224,0.2645,1.0353,9.4257,187.9624
7.267,0.3004,0.5337,9.4328,188.0008
7.31,0.1196,-0.1079,9.8339,188.0373
7.353,0.3471,1.6985,9.4975,188.066
7.396,-0.0767,-0.4563,10.8359,188.0964
7.439,0.4812,0.1674,10.4264,188.1177
7.482,-0.212,1.216,9.0151,188.1294
7.525,0.1771,0.6115,8.9181,188.1338
7.568,0.0945,0.5253,10.3558,188.1262
7.611,0.0059,0.2536,10.9065,188.1063
7.654,0.1436,1.3501,8.8738,188.0764
7.697,0.2992,0.6271,8.2705,188.0385
7.74,0.134,-0.102,10.5641,187.9936
7.783,0.2166,1.1454,10.4276,187.9325
7.826,-0.4657,0.493,9.5298,187.8739
7.869,0.0957,1.6039,8.0298,187.8082
7.912,0.0586,0.2308,9.2916,187.7468
7.955,0.2537,0.76,10.5055,187.6793
7.998,0.061,0.9922,8.79,187.6117
8.041,-0.3796,-0.8023,11.3111,187.5577
8.084,0.0694,-0.266,10.7018,187.5012
8.127,-0.437,2.0528,9.2066,187.4434
8.17,0.0227,0.9826,8.2717,187.3936
8.213,-0.4514,0.0632,10.6946,187.351
8.256,-0.1174,0.4176,11.5254,187.3125
8.299,-0.0683,2.3988,8.9827,187.2802
8.342,-0.7243,-0.9172,9.7453,187.2562
8.385,0.5793,1.9235,9.8458,187.2433
8.428,-0.5064,0.408,10.5785,187.2338
8.471,-0.5136,-0.3258,11.2572,187.227
8.514,-0.2778,1.3358,9.9344,187.233
8.557,-0.7985,0.4595,9.1587,187.2414
8.6,0.2908,1.1275,9.1036,187.2547
8.643,0.2812,1.3657,8.2741,187.2686
8.686,-0.2586,-0.6071,10.6718,187.2757
8.729,0.3998,1.5716,9.4724,187.2899
8.772,0.0933,-0.0373,9.4173,187.2887
8.815,0.1986,0.7611,10.4276,187.2979
8.858,-0.2239,-0.3007,10.8191,187.3061
