time,ax,ay,az,yaw,distance
0.0,-0.5131,2.333562,10.0096,34.743,0.0023335435813045353
0.043,-0.5274,1.555092,10.0431,34.4885,0.006872173673425194
0.086,-0.0462,1.574496,10.2263,34.313,0.013460979916759028
0.129,-0.695,2.1856065,10.2239,34.2173,0.022120384150113314
0.172,-0.5334,3.30561,10.4071,34.1794,0.03303941489571175
0.215,-0.3108,2.3087295,10.2993,34.2091,0.04620273250907144
0.258,-0.0235,3.120348,9.7235,34.2826,0.06170544276667091
0.301,-0.4341,2.7899025,8.9598,34.408,0.07961749628143218
0.344,-0.7441,4.447674,10.0048,34.5695,0.10030706422076849
0.387,-0.3191,3.6443715,10.3137,34.758,0.12393690307766232
0.43,-0.6208,3.0511635,9.7092,34.9526,0.1505825114554063
0.473,0.1645,2.8839195,9.4242,35.1472,0.18021678769648286
0.516,-0.0354,3.6055635,10.3281,35.3522,0.21295765513224366
0.559,-0.142,3.7370025,11.2774,35.5541,0.2489461894128309
0.602,-0.4317,2.065371,9.3644,35.7381,0.28804891251669734
0.645,0.5799,2.1745185,8.4067,35.8924,0.3300820445797601
0.688,-0.5646,3.3595485,10.3963,36.0483,0.3751755173845358
0.731,-0.7489,1.379532,10.9027,36.1694,0.4231159081824892
0.774,-0.3108,2.829981,10.3652,36.2493,0.4739253489860713
0.817,-0.136,1.7418555,9.6158,36.2929,0.5274214775642608
0.86,-0.5801,4.0162815,10.8332,36.3143,0.5838688514656263
0.903,-0.0666,1.6062585,9.4542,36.3054,0.6430479704883719
0.946,-0.7393,3.222681,8.5647,36.2968,0.7050915085703707
0.989,-0.5693,2.8714455,9.1405,36.2626,0.7700447184677807
1.032,-0.0043,3.283434,9.0639,36.2156,0.8379817007412609
1.075,0.2243,3.966501,10.5016,36.1656,0.9090756523576277
1.118,-0.0378,1.880109,10.0539,36.1108,0.983134125693066
1.161,-0.8961,4.547235,10.0396,36.0633,1.0605125709795398
1.204,-0.3156,3.019401,9.7582,36.0109,1.1412219853744332
1.247,-0.4197,1.4237685,10.4885,35.9418,1.2249960400828606
1.29,-0.8878,4.3052625,11.6987,35.8815,1.3121355555886
1.333,-0.197,1.7998365,9.514,35.8106,1.4024214047056789
1.376,-0.1839,4.1973855,7.5364,35.7687,1.4960817846479522
1.419,-0.5753,4.8513465,10.5962,35.7279,1.5934645865548183
1.462,-0.2593,-0.032109,12.666,35.6557,1.6939929965472234
1.505,-0.9225,2.998611,11.0236,35.5905,1.797728319396773
1.548,-0.889,5.4251505,10.6824,35.5326,1.905156300308459
1.591,-0.5981,3.3373725,8.2643,35.4557,2.016323638492676
1.634,-0.1073,0.0148995,8.111,35.3159,2.1306479214730665
1.677,-1.8203,3.5309505,9.1489,35.172,2.2483375743039593
1.72,0.617,2.264493,9.2531,35.0269,2.369204662643497
1.763,0.6625,0.80157,10.8248,34.845,2.4928162621427585
1.806,0.0256,-0.897666,10.68,34.6503,2.6185168119734055
1.849,-0.0235,-0.6653955,10.686,34.4465,2.7457602405380017
1.892,-0.1049,-2.7795075,8.9861,34.2436,2.873680313351796
1.935,-0.3922,-4.351578,8.8006,34.0411,3.0012319321458847
1.978,0.5571,0.713097,9.3069,33.8355,3.1283264724888413
2.021,0.8157,1.866249,8.9765,33.6571,3.2550763516069052
2.064,0.8803,0.9814035,9.5044,33.5004,3.3814205015416814
2.107,0.4949,0.05775,10.7949,33.3821,3.507161291325785
2.15,0.1669,-1.2156375,11.1983,33.3015,3.6319119624435894
2.193,-0.3754,-0.997227,10.9206,33.2522,3.75539604614589
2.236,-0.0713,-0.9363585,9.3452,33.2057,3.8773578122342225
2.279,-0.2964,-0.72072,8.445,33.1481,3.9976196180222425
2.322,0.7128,1.9326615,9.1202,33.0364,4.116437482822022
2.365,-0.1563,2.4607275,10.5292,32.8581,4.234188323114188
2.408,0.4087,3.7467045,9.8396,32.6028,4.351407774445258
2.451,1.3831,5.75421,9.4781,32.3268,4.468878305651938
2.494,0.113,4.44213,10.686,31.9765,4.587144580435077
